asset_id,source_path,public_path,sha256,display_section,claim_id,display_role,caption_status
BOOK:raw/books/1999_40_jours_desert_b/pages/pg09.jpg,raw/books/1999_40_jours_desert_b/pages/pg09.jpg,assets/public/1990s/40days/022_pg09.jpg,95c9347ebba1f920719f86cee827edc414fe2b045ff6a60f3ac1e0bd60cca42e,SECTION_09_COUNTEREXAMPLE_40D,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/1999_40_jours_desert_b/pages/pg10.jpg,raw/books/1999_40_jours_desert_b/pages/pg10.jpg,assets/public/1990s/40days/023_pg10.jpg,11f62c5111a55ca7f3b5a0c2c64dd48ef7c8d4555dd9037050afaaada63a2214,SECTION_09_COUNTEREXAMPLE_40D,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/2016_world_of_edena/pages/woe_211.jpg,raw/books/2016_world_of_edena/pages/woe_211.jpg,assets/public/1990s/stel/024_woe_211.jpg,a3492b5ecd9419e4711f0279c72af0769a31b2571cefe46d73787cacff87e666,SECTION_09_COUNTEREXAMPLE_STEL,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/2016_world_of_edena/pages/woe_212.jpg,raw/books/2016_world_of_edena/pages/woe_212.jpg,assets/public/1990s/stel/025_woe_212.jpg,a785cb6103f07f046de02b2d20c3b01b0e726c6a327805213e92f08d8be521da,SECTION_09_COUNTEREXAMPLE_STEL,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/2016_world_of_edena/pages/woe_213.jpg,raw/books/2016_world_of_edena/pages/woe_213.jpg,assets/public/1990s/stel/026_woe_213.jpg,73231f46bee0fda8747bc8808a6ee72adc4291e3395339d291a76249eebfde63,SECTION_09_COUNTEREXAMPLE_STEL,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/2016_world_of_edena/pages/woe_214.jpg,raw/books/2016_world_of_edena/pages/woe_214.jpg,assets/public/1990s/stel/027_woe_214.jpg,88dcac4e71573a871444a39b67ba9865afe687cceb089b25764f29d7ea1ea064,SECTION_09_COUNTEREXAMPLE_STEL,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/2016_world_of_edena/pages/woe_215.jpg,raw/books/2016_world_of_edena/pages/woe_215.jpg,assets/public/1990s/stel/028_woe_215.jpg,a68af8473629b176a7d6a00dbe41e8463bc8513cd8e510558e4775e06c225747,SECTION_09_COUNTEREXAMPLE_STEL,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOOK:raw/books/2016_world_of_edena/pages/woe_216.jpg,raw/books/2016_world_of_edena/pages/woe_216.jpg,assets/public/1990s/stel/029_woe_216.jpg,b2a72fe2158e3e7303b4d37a033fc173646ebcbb022c0ce4ad2d1d66d62928aa,SECTION_09_COUNTEREXAMPLE_STEL,claim: BODY_VISIBILITY != NARRATIVE_CAUSALITY,story_page_visual_evidence,IDENTITY_GATE_PASS · STORY_PAGE_VERIFIED
BOARD:1970S_MASTER_ARC.jpg,review/studies/1970S_MASTER_ARC.jpg,assets/public/1970s/030_n_a_1970S_MASTER_ARC.jpg,3f641a52f0e9bff1be2eb1667888e5e0a90f91b70034346ac10932e73ca1c7cd,SECTION_02_70S,claim: visual support,research_visualization_board,DERIVED_VISUALIZATION_NOT_PRIMARY_ARTWORK
BOARD:1980S_ARC.jpg,review/studies/1980S_ARC.jpg,assets/public/1980s/catalog_renders/031_n_a_1980S_ARC.jpg,3e980fc33632cc78dd7bfa96b49b7c2fe6b7be6f66369484cb7a6c41e6a47994,SECTION_03_80S,claim: visual support,research_visualization_board,DERIVED_VISUALIZATION_NOT_PRIMARY_ARTWORK
